csat_id,grade
1246120822796558336,3
1246120905501761536,0
1246121217318903808,0
1246121648566935552,0
1246122677046960128,1
1246123127094706176,3
1246125591444140032,1
1246125975735959552,0
1246126232977891328,0
1246127183968141312,3
1246127267644506112,0
1246128110418591744,1
1246129045683412992,0
1246129292415401984,0
1246129693813190656,0
1246130244171161600,0
1246130356942340096,3
1246130360678166528,0
1246130441795248128,3
1246131292838223872,0
1246131380260241408,0
1246131801110454272,2
1246133202032091136,0
1246133224431497216,0
1246133248693723136,0
1246133550759108608,3
1246133697000833024,0
1246134749052612608,0
1246138348402221056,3
1246139638793187328,3
1246141821946494976,3
1246143023126753280,2
1246143265377169408,0
1246143451186135040,3
1246145058128855040,3
1246145503463137280,0
1246145722785570816,3
1246146070826778624,3
1246146554765574144,0
1246146742637326336,3
1246146927106523136,3
1246147106875465728,0
1246150238800011264,3
1246153795421929472,0
1246156404572479488,0
1246156821392105472,0
1246158340214554624,3
1246158907373023232,3
1246159735716917248,0
1246160547825688576,0
1246161701928726528,3
1246162138142187520,0
1246162285093822464,0
1246162417323450368,0
1246162677619679232,0
1246162799738052608,0
1246162893511172096,0
1246163524797923328,1
1246163614732677120,0
1246163737395097600,1
1246163947733463040,0
1246164175814762496,0
1246164412011732992,0
1246164423096205312,0
1246164532940832768,2
1246164556890796032,3
1246164678168608768,3
1246166065210302464,0
1246168652341653504,0
1246169056903245824,0
1246171325082185728,0
1246171949297655808,0
1246172198358548480,2
1246173502244728832,0
1246173592859631616,3
1246176360836169728,3
1246176717729497088,0
1246176966065848320,0
1246178685290086400,3
1246179605570576384,0
1246180378984669184,1
1246190466251022336,3
1246191920551649280,0
1246192116126638080,3
1246194293528256512,1
1246195542740000768,0
1246198845376913408,2
1246200959474966528,0
1246201186594250752,0
1246203228192833536,0
1246204755198451712,0
1246209153062469632,0
1246217410972250112,2
1246227805648257024,0
1246229310023954432,3
1246230453502685184,3
1246230558338555904,3
1246230750374764544,0
1246230823420485632,0
1246230909318672384,0
1246230945975066624,3
1246231036848271360,0
1246231200867115008,0
1246231212584927232,3
1246231272387801088,3
1246231370911514624,3
1246231562575503360,3
1246231765897371648,0
1246231901946093568,3
1246232056165392384,0
1246232074926514176,3
1246232121107623936,0
1246232220523388928,3
1246232291972771840,3
1246232322032721920,3
1246232436798480384,3
1246232501712510976,0
1246232829970165760,2
1246233196944191488,0
1246233256088657920,0
1246233300394156032,0
1246233368031502336,3
1246233506940518400,0
1246233558684348416,3
1246233728696266752,0
1246233839452356608,0
1246233916281561088,0
1246234116807041024,0
1246234196958539776,0
1246234317953277952,0
1246234390891159552,0
1246234438531887104,0
1246234597830795264,0
1246234681048915968,3
1246234767400173568,0
1246234982337282048,0
1246235151174795264,3
1246235168316915712,0
1246235371896922112,0
1246235863157899264,0
1246236448344072192,0
1246236575097004032,0
1246236918151045120,3
1246236999460663296,0
1246237147815567360,0
1246237304219951104,0
1246237510691037184,3
1246237670173114368,0
1246237809843298304,3
1246238512656494592,0
1246238718240305152,0
1246238726920691712,0
1246238796144549888,2
1246238932304240640,0
1246238999136280576,3
1246239467004420096,2
1246240199790112768,3
1246240557431185408,0
1246240976823975936,0
1246241170956038144,0
1246241305390047232,0
1246241420324188160,3
1246241712668336128,0
1246241796793630720,2
1246241844908630016,2
1246241870135091200,0
1246241974292869120,0
1246242019880132608,0
1246242079314632704,3
1246242198809141248,0
1246242263917322240,3
1246242413067399168,0
1246242577018548224,3
1246242597422051328,0
1246242928100978688,3
1246242985320972288,3
1246243045974663168,3
1246243159395872768,2
1246243189947183104,0
1246243189948481536,0
1246243321281015808,3
1246243421650710528,2
1246243615270580224,0
1246243732171325440,0
1246243743966195712,0
1246243858485686272,0
1246243958903304192,0
1246243977477332992,3
1246244047537922048,0
1246244127675359232,0
1246244136547069952,3
1246244313712062464,2
1246244466103083008,1
1246244544855961600,3
1246244592494866432,0
1246244675942195200,0
1246244741417197568,0
1246244804412661760,3
1246244905857921024,0
1246244935596695552,0
1246245029849935872,0
1246245172638998528,2
1246246627535826944,0
1246247718140051456,3
1246247861837979648,0
1246250481203621888,0
1246250606583193600,2
1246250685315231744,0
1246250777100972032,0
1246250794908200960,0
1246250967127621632,0
1246251082104778752,0
1246251365659942912,0
1246251491419815936,0
1246251705700556800,3
1246252890447765504,2
1246254897446322176,0
1246255239080632320,0
1246255351497580544,0
1246255482674438144,3
1246255559237263360,3
1246256108795944960,0
1246256500648796160,2
1246257198196928512,0
1246261434990526464,0
1246262328017641472,0
1246263464946069504,1
1246263616084205568,0
1246264586200969216,0
1246264804881805312,0
1246265035153289216,0
1246265871526866944,0
1246266094367830016,0
1246266549878218752,0
1246266739111419904,3
1246267218365177856,3
