Timestamp,Title,Age,Citizenship,Rate your skills [Python],Rate your skills [Machine learning], What is your expectation from attending this class?,What is your best favorite category to purchase online?, What is your second favorite category to purchase online?, What is you third favorite category to purchase online?
7/4/2020 12:10:58,Ms.,29,Philippines,Have studied,Have studied,Understand Numpy and Panda. And learn it's actual application in data science,Food & Beverages,Women's Apparel,Beauty & Personal Care
7/4/2020 12:58:29,Ms.,24,Malaysia,Have studied,No Background,Increase understanding about data science,Hobbies & Books,Beauty & Personal Care,Jewellery & Accessories
7/4/2020 13:01:02,Ms.,19,Philippines,Regularly use at work,Regularly use at work,I will learn how to use python for data science,Women's Apparel,Mobile & Gadgets,Computers & Peripherals
7/4/2020 13:14:32,Ms.,20,Singapore,No Background,No Background,Learn basics of python,Women's Apparel,Mobile & Gadgets,Beauty & Personal Care
7/4/2020 13:42:44,Mr.,25,Indonesia,Have used in a project,Have studied,increase knowledge,Computers & Peripherals,Hobbies & Books,Mobile & Gadgets
7/4/2020 14:19:17,Ms.,20,Indonesia,Regularly use at work,Have used in a project,"I want to learn more about data science, especially for the application of numpy and pandas library in it.",Beauty & Personal Care,Food & Beverages,Video Games
7/4/2020 18:28:16,Ms.,20,Singapore,Have studied,No Background,Learn a new skill that can be applied,Beauty & Personal Care,Women's Apparel,Food & Beverages
7/4/2020 18:51:53,Ms.,21,Singapore,Have studied,No Background,Know more about numpy and pandas for data science ,Women's Apparel,Hobbies & Books,Beauty & Personal Care
7/5/2020 11:54:06,Ms.,20,Singapore,No Background,No Background,learn as much as i can,Hobbies & Books,Mobile & Gadgets,Food & Beverages
7/5/2020 12:09:23,Ms.,25,Indonesia,Have studied,No Background,Form a solid foundation on learning data science ,Beauty & Personal Care,Food & Beverages,Hobbies & Books
7/5/2020 13:43:36,Mr.,50,Singapore,"Have studied, Have used in a project","Have studied, Have used in a project",Learn immediate python,Food & Beverages,Women's Apparel,Video Games
7/5/2020 13:47:30,Mr.,21,Malaysia,Have studied,Have studied,know more about data science,Computers & Peripherals,Mobile & Gadgets,Video Games
7/5/2020 14:13:45,Mr.,50,Singapore,"Have studied, Have used in a project","Have studied, Have used in a project",Learn immediate python,Food & Beverages,Women's Apparel,Video Games
7/5/2020 14:14:42,Ms.,22,Taiwai,Have used in a project,Have studied,To have  a better idea in How it works in Python and data ,Hobbies & Books,Beauty & Personal Care,Women's Apparel
7/5/2020 14:24:58,Ms.,24,Taiwan,Have used in a project,No Background,agility between Numpy and Pandas,Beauty & Personal Care,Food & Beverages,Women's Apparel
7/5/2020 16:07:19,Mr.,21,Malaysia,No Background,No Background,To learn how to write scripts in python ,Men's Wear,Hobbies & Books,Food & Beverages
7/5/2020 18:04:25,Ms.,30,Indonesia,Have used in a project,Have used in a project,Learn python for data science,Food & Beverages,Beauty & Personal Care,Hobbies & Books
7/5/2020 20:57:21,Ms.,21,Singapore,Have studied,Have used in a project,Knowing more about Python and Numpy for data transformation,Women's Apparel,Beauty & Personal Care,Mobile & Gadgets
7/6/2020 7:43:49,Mr.,13,Singapore,Have used in a project,Have studied,-,Computers & Peripherals,Men's Wear,Mobile & Gadgets
7/6/2020 8:55:18,Mr.,22,Singapore,Have studied,No Background,learn more about how python is used for ds,Hobbies & Books,Men's Wear,Food & Beverages
