Timestamp,Title,Age,Citizenship,Rate your skills [Python],Rate your skills [Machine learning],What is your expectation from attending this class?,What is your best favorite category to purchase online?,What is your second favorite category to purchase online?,What is you third favorite category to purchase online?
7/2/2020 12:01:56,Mr.,17,Malaysia,Regularly use at work,Have used in a project,To learn the practical use of data science and machine learning,Food & Beverages,Video Games,Mobile & Gadgets
7/2/2020 12:38:29,Mr.,18,Vietnam,Have studied,Have studied,I expect to understand everything related to this class.,Video Games,Video Games,Video Games
7/2/2020 12:40:33,Ms.,21,Indonesia,Have studied,Have studied,More understand about python for data science,Beauty & Personal Care,Hobbies & Books,Food & Beverages
7/2/2020 12:48:01,Ms.,21,Malaysia,Have studied,No Background,Learn new techniques,Women's Apparel,Jewellery & Accessories,Beauty & Personal Care
7/2/2020 12:59:03,Ms.,27,Indonesia,No Background,No Background,No expectation,Beauty & Personal Care,Mobile & Gadgets,Computers & Peripherals
7/2/2020 13:01:51,Mr.,25,Singapore,No Background,Have studied,Understanding Python,Men's Wear,Video Games,Mobile & Gadgets
7/2/2020 13:31:16,Mr.,19,Indonesia,Have studied,Have studied,"learn and gain experience
about python and machine learning",Computers & Peripherals,Mobile & Gadgets,Food & Beverages
7/2/2020 13:36:54,Mr.,20,Thailand,Have studied,No Background,I want to be able to use python more efficiently.,Video Games,Hobbies & Books,Food & Beverages
7/2/2020 14:04:46,Mr.,19,Indonesia,Have studied,No Background,Learning more about using python for data science purposes,Video Games,Men's Wear,Food & Beverages
7/2/2020 14:30:39,Mr.,32,Taiwai,Have studied,No Background,To learn more about Python in Data science,Video Games,Computers & Peripherals,Hobbies & Books
7/2/2020 14:41:36,Ms.,25,Taiwai,Have used in a project,No Background,Basic Python,Jewellery & Accessories,Beauty & Personal Care,Food & Beverages
7/2/2020 14:44:45,Mr.,18,Indonesia,Have studied,No Background,Have a basic foundation about machine learning,Food & Beverages,Computers & Peripherals,Hobbies & Books
7/2/2020 15:07:20,Ms.,19,Singapore,No Background,No Background,learning some basics on python,Women's Apparel,Hobbies & Books,Beauty & Personal Care
7/2/2020 15:10:47,Ms.,26,Malaysia,No Background,No Background,Learn Python programming language,Hobbies & Books,Women's Apparel,Beauty & Personal Care
7/2/2020 15:40:03,Mr.,18,Indonesia,Have studied,No Background,able to implement phyton in machine learning,Men's Wear,Food & Beverages,Watches
7/2/2020 15:51:41,Mr.,22,Singapore,Have studied,No Background,Learn more about real world python applications,Mobile & Gadgets,Video Games,Computers & Peripherals
7/2/2020 16:30:26,Ms.,22,Malaysia,No Background,No Background,Learn something new,Mobile & Gadgets,Hobbies & Books,Women's Apparel
7/2/2020 16:34:05,Mr.,24,Singapore,"Have studied, Have used in a project",No Background,Nil,Hobbies & Books,Mobile & Gadgets,Computers & Peripherals
7/2/2020 16:53:34,Ms.,20,Singapore,Have studied,No Background,To have a deeper understanding in Python! Because I've only learnt about Python but now how it can be used in Data Science,Women's Apparel,Jewellery & Accessories,Hobbies & Books
7/2/2020 17:01:45,Mr.,21,Singapore,Have studied,No Background,Learning the basics to be able to do something,Video Games,Food & Beverages,Mobile & Gadgets
